# Directed graph (each unordered pair of nodes is saved once): Email-Enron.txt 
# Enron email network (edge indicated that email was exchanged, undirected edges)
# Nodes: 36692 Edges: 367662
# FromNodeId	ToNodeId
0	1
1	0
1	2
1	3
1	4
1	5
1	6
1	7
1	8
1	9
1	10
1	11
1	12
1	13
1	14
1	15
1	16
1	17
1	18
1	19
1	20
1	21
1	22
1	23
1	24
1	25
1	26
1	27
1	28
1	29
1	30
1	31
1	32
1	33
1	34
1	35
1	36
1	37
1	38
1	39
1	40
1	41
1	42
1	43
1	44
1	45
1	46
1	47
1	48
1	49
1	50
1	51
1	52
1	53
1	54
1	55
1	56
1	57
1	58
1	59
1	60
1	61
1	62
1	63
1	64
1	65
1	66
1	67
1	68
1	69
1	70
2	1
3	1
3	4
3	6
3	878
3	8552
4	1
4	3
4	49
4	50
4	74
4	878
4	910
4	8552
5	1
5	56
5	75
5	86
5	93
5	106
5	136
5	140
5	144
5	145
5	151
5	188
5	195
5	212
5	213
5	301
5	416
5	443
5	478
5	566
5	588
5	647
5	734
5	823
5	851
5	919
5	1330
5	1359
5	1365
5	1371
5	1672
5	1725
5	1768
5	1793
5	1824
5	2718
5	2737
5	2753
5	3027
5	3237
5	3311
5	3334
5	3844
5	4153
5	4398
5	4746
5	5030
5	5033
5	5036
5	5048
5	5050
5	5061
5	6917
5	9132
5	9136
5	9498
5	9499
5	9500
5	9501
5	9502
5	9503
5	9504
6	1
6	3
6	7
6	50
6	74
6	308
6	878
6	910
6	10606
7	1
7	6
7	49
7	50
7	74
7	88
7	118
7	308
7	851
7	878
7	910
7	949
7	7775
7	10606
8	1
9	1
9	56
9	81
9	82
9	184
9	273
9	316
9	390
9	416
9	823
9	1053
9	1139
9	1330
9	1672
9	1725
9	1768
9	2348
9	2630
9	3334
9	3844
9	5020
9	5024
9	5033
9	5036
9	5050
9	5069
9	5587
9	8032
9	8556
9	8565
9	8566
9	9129
9	9130
9	9131
9	9132
9	9133
9	9134
9	9135
9	9136
10	1
10	11
10	12
10	13
